split,n_total_vols,n_used_vols_fg>0,gt_empty_vols,dice_macro_fg_mean,iou_macro_fg_mean,dice_global_fg_mean,iou_global_fg_mean,dice_global_c0,iou_global_c0,gt_vox_c0,pred_vox_c0,inter_c0,union_c0,dice_global_c1,iou_global_c1,gt_vox_c1,pred_vox_c1,inter_c1,union_c1,dice_global_c2,iou_global_c2,gt_vox_c2,pred_vox_c2,inter_c2,union_c2,dice_global_c3,iou_global_c3,gt_vox_c3,pred_vox_c3,inter_c3,union_c3,dice_global_c4,iou_global_c4,gt_vox_c4,pred_vox_c4,inter_c4,union_c4,dice_global_c5,iou_global_c5,gt_vox_c5,pred_vox_c5,inter_c5,union_c5,dice_global_c6,iou_global_c6,gt_vox_c6,pred_vox_c6,inter_c6,union_c6,dice_global_c7,iou_global_c7,gt_vox_c7,pred_vox_c7,inter_c7,union_c7,dice_global_c8,iou_global_c8,gt_vox_c8,pred_vox_c8,inter_c8,union_c8
train,234,222,12,0.962924662772574,0.9332348479636425,0.9716053285467818,0.9449088003347236,0.9996412420972087,0.9992827415165668,1767428964,1766176819,1766169037,1767436746,0.9513151577355528,0.9071506704353216,4058870,4289026,3970740,4377156,0.9736057373651158,0.9485689591305262,10526612,10404111,10189136,10741587,0.9743498786438479,0.9499827069249763,7908404,8250233,7872083,8286554,0.9667188764334361,0.935581667355564,10121927,10337208,9889116,10570019,0.9796965700112352,0.9602011923276819,13768166,13816385,13512245,14072306,0.9775759827094513,0.9561355818890623,13015605,12908385,12671335,13252655,0.97636029071686,0.9538124418801708,16967474,17399573,16777310,17589737,0.9732201347587555,0.9478371827344849,18474954,18689236,18084469,19079721
val,26,24,2,0.834687965658922,0.7362522178063435,0.8444330225283085,0.7331940058757214,0.9996417423704104,0.9992837413459482,190226241,190092247,190091118,190227370,0.8854177588803624,0.7943942817453549,500065,520416,451776,568705,0.9213722591081815,0.8542078273885141,1274757,1226345,1152223,1348879,0.8264208705353369,0.7041884520495135,538617,666067,497788,706896,0.807378441656316,0.6769779030135975,1237199,1190956,980220,1447935,0.7830195278729178,0.6434117439077128,1531757,1498783,1186486,1844054,0.8103964715727506,0.6812324040801722,1742942,1614928,1360603,1997267,0.8674171718428688,0.7658752634050408,1975864,2074208,1756551,2293521,0.8540416787577336,0.7452641714158654,2299150,2442642,2024844,2716948
