epoch,train_loss,val_loss,val_dice_macro,val_dice_global,val_iou_macro,val_iou_global,used_batches,gt_empty_batches,dice_zero_batches,best_val_dice_global,early_counter,epoch_time_sec
1,1.4705052854668381,1.29882858808224,0.10325243240424146,0.10455534967277688,0.055167121717151844,0.055161383717919066,24,2,0,0.10455534967277688,0,266.7757887840271
2,1.234876908807673,1.152694284915924,0.10333405045984011,0.10462177825948704,0.055214366855467406,0.05519836466381552,24,2,0,0.10462177825948704,0,262.20495104789734
3,1.146979586690919,1.1068699153570027,0.10340402602572994,0.10468769683793412,0.0552544175941894,0.0552350642494523,24,2,0,0.10468769683793412,0,262.06921577453613
4,1.0920059487350986,1.0971542528042426,0.10348677535427699,0.10478347015819699,0.05530046629757179,0.055288389747710484,24,2,0,0.10478347015819699,0,262.09410667419434
5,1.0365368339241061,1.014123091330895,0.10927610761540739,0.11374349105627532,0.05847149491225695,0.060301178825339065,24,2,0,0.11374349105627532,0,262.2055330276489
6,1.0070029430919223,0.9429426147387578,0.11895777336479145,0.12379912535180235,0.06392573789455391,0.06598393968610405,24,2,0,0.12379912535180235,0,262.33020520210266
7,0.9705009580167949,0.9553387142144717,0.12999450168103813,0.13355248227140215,0.07044483293083377,0.07155437321587854,24,2,0,0.13355248227140215,0,262.29781317710876
8,0.9448269939320719,0.9071091298873608,0.19815350314392507,0.19761080684208399,0.11211127248634506,0.10963825548457466,24,2,0,0.19761080684208399,0,262.413635969162
9,0.9298810979239961,0.9476335300849035,0.28587545672630493,0.2761867680501797,0.1728856381666224,0.1602184986930298,24,2,0,0.2761867680501797,0,262.29007291793823
10,0.906887908012439,0.9262317441976987,0.4148829597048715,0.4200058906225511,0.26890950042305933,0.2658275041215453,24,2,0,0.4200058906225511,0,262.37648844718933
11,0.8998798600628845,0.98015862932572,0.5584911325071917,0.5855174298103363,0.4048767703215898,0.4139446057167222,24,2,0,0.5855174298103363,0,262.43987584114075
12,0.8904564724518702,0.9241035145062667,0.7376880190923353,0.7820286148866465,0.6019038101365617,0.6420747026120528,24,2,0,0.7820286148866465,0,262.33258390426636
13,0.8716397616598341,0.9041597522222079,0.766910076345789,0.8075786425378341,0.6370245280153143,0.6772594582309447,24,2,0,0.8075786425378341,0,262.251033782959
14,0.8656834993097517,0.8514067163834205,0.7913523385703742,0.8271268912375188,0.6670426324540245,0.7052143024322852,24,2,0,0.8271268912375188,0,262.3704869747162
15,0.8535970110669096,0.846672209409567,0.8254341866875138,0.8539099830951457,0.7101242089036562,0.7450636254569482,24,2,0,0.8539099830951457,0,262.4474129676819
16,0.8405715795154245,0.8421129584312439,0.8470493492104695,0.866310721354697,0.7391069961073286,0.7641518162629987,24,2,0,0.866310721354697,0,262.3700487613678
17,0.8261240066116692,0.8540092706680298,0.8687919308400511,0.8847851270759334,0.771304843916797,0.7933763694847864,24,2,0,0.8847851270759334,0,262.4537341594696
18,0.8192210900477874,0.8201460471520057,0.8462910932461324,0.8701161974225423,0.7390300621968521,0.7700935223937709,24,2,0,0.8847851270759334,1,262.4308657646179
19,0.8002543431571406,0.7885875335106483,0.8724105596201972,0.8912252131603271,0.7775746370186384,0.8037928204523621,24,2,0,0.8912252131603271,0,262.4331064224243
20,0.7956506360290397,0.8186075549859267,0.8656925716747677,0.880997769997421,0.7669566248814085,0.7873065364627473,24,2,0,0.8912252131603271,1,262.54580330848694
21,0.7933939603658823,0.8119106040551112,0.8926649058447684,0.9017626765522117,0.8081895062167871,0.82110000935065,24,2,0,0.9017626765522117,0,262.52402329444885
22,0.7702966928482056,0.7997871935367584,0.8952099836848798,0.907741422339706,0.8126713538472213,0.8310682478540581,24,2,0,0.907741422339706,0,262.46394896507263
23,0.7596294001126901,0.8150792442835294,0.8937558386913499,0.9061836323214532,0.8101582134020625,0.828460479380726,24,2,0,0.907741422339706,1,262.5016038417816
24,0.7571870029991509,0.7742355672212747,0.9102093366178616,0.9200554412593934,0.8368274589511792,0.8519469206200084,24,2,0,0.9200554412593934,0,262.436247587204
