epoch,train_loss,val_loss,val_dice_macro,val_dice_global,val_iou_macro,val_iou_global,used_batches,gt_empty_batches,dice_zero_batches,best_val_dice_global,early_counter,epoch_time_sec
1,0.7392106889150082,0.6330195161012503,0.5263444490281154,0.552797686070174,0.3729641414680657,0.3819767842749447,24,2,0,0.552797686070174,0,258.25448060035706
2,0.6030548039155129,0.5679373076328864,0.629730061866902,0.6648819501514672,0.47934389851951625,0.4979948778513609,24,2,0,0.6648819501514672,0,255.71420812606812
3,0.5485394837764593,0.5164290815591812,0.7703364759267607,0.807609351757739,0.6489701086447776,0.6773026549212376,24,2,0,0.807609351757739,0,255.83446550369263
4,0.4990162417674676,0.5141352243148364,0.8414278423938315,0.8739460790913431,0.7430621857169748,0.7761138812838749,24,2,0,0.8739460790913431,0,256.0717878341675
5,0.46510693902133876,0.44358979967924267,0.8444654850656113,0.8777203263955901,0.746875475661433,0.7820869851243301,24,2,0,0.8777203263955901,0,255.91708755493164
6,0.4297613504095974,0.4169308313956627,0.8502463782733413,0.8798306363335524,0.7520780493347128,0.7854442951856514,24,2,0,0.8798306363335524,0,256.0125181674957
7,0.4019909667917806,0.39317712646264297,0.8963277715062511,0.916018259988171,0.8182779783595356,0.8450495300577435,24,2,0,0.916018259988171,0,256.0412950515747
8,0.37426629038448006,0.3658060316856091,0.8630322195578092,0.8826630119950613,0.7662327885525912,0.7899702788601857,24,2,0,0.916018259988171,1,256.0324385166168
9,0.35733735841563624,0.359717743901106,0.9257490081222759,0.9324317909661965,0.8626949364991222,0.8734165958445772,24,2,0,0.9324317909661965,0,256.1057929992676
10,0.3309752297961814,0.3323704875432528,0.9337107760834141,0.9355630655939838,0.8762480682635473,0.8789276615209268,24,2,0,0.9355630655939838,0,256.0498888492584
11,0.30940073448368627,0.3106162204192235,0.9284887968551628,0.9348322780640782,0.8675153078409251,0.8776385716655389,24,2,0,0.9355630655939838,1,256.08537912368774
12,0.2891577144718578,0.29276878787921023,0.8865970808648669,0.9087187114635754,0.8032665876764855,0.832708047878569,24,2,0,0.9355630655939838,2,256.02382946014404
13,0.2745672502578833,0.2731119835605988,0.8931992208473596,0.9156305823574963,0.8132607367311194,0.8443898983688994,24,2,0,0.9355630655939838,3,256.07164478302
14,0.25559138347450483,0.25518195503033125,0.9339455983572095,0.9384922604328628,0.8765551314066867,0.884112499090739,24,2,0,0.9384922604328628,0,256.0391390323639
15,0.23825962414853594,0.24098107046805894,0.9158021238643484,0.9310319603610447,0.8479788784916069,0.8709633270939527,24,2,0,0.9384922604328628,1,256.09309792518616
16,0.22412402310177812,0.23649278283119202,0.9043718313773771,0.9142659261088515,0.826862473057211,0.8420716896470106,24,2,0,0.9384922604328628,2,256.09361743927
17,0.20260969148232386,0.2037427333685068,0.916569089742596,0.9337252598465765,0.8494462939300483,0.8756891865526377,24,2,0,0.9384922604328628,3,256.1142864227295
18,0.18901601363705772,0.190820707151523,0.9208458418160714,0.9334520969364114,0.8555554640180701,0.8752087873926074,24,2,0,0.9384922604328628,4,255.82642483711243
19,0.17761519761421743,0.18178854023034757,0.933280320580665,0.9376793836069756,0.8754151476630222,0.882670795555816,24,2,0,0.9384922604328628,5,255.77555394172668
20,0.16454978274483967,0.1787143492927918,0.9471220349636043,0.9513405420360184,0.8998847933227695,0.9071968357421655,24,2,0,0.9513405420360184,0,256.0290231704712
21,0.1550778936371844,0.18134313936416918,0.9417878240055805,0.9478359983392636,0.890879901557028,0.9008443520622247,24,2,0,0.9513405420360184,1,256.09065651893616
22,0.14675946896656966,0.157923263999132,0.9380320932737413,0.947209320453159,0.8846039409685705,0.8997128668168606,24,2,0,0.9513405420360184,2,256.11180543899536
23,0.13606697212681812,0.15040435498723617,0.9521016711342706,0.9549412926973042,0.9089656171410011,0.9137680840553111,24,2,0,0.9549412926973042,0,256.0993082523346
24,0.1274411399076637,0.14771451858373788,0.9516558457557039,0.95506678880051,0.908146196056022,0.9139979269145622,24,2,0,0.95506678880051,0,256.1485822200775
25,0.12288572378138192,0.14259931817650795,0.9369147142229148,0.94643122519169,0.8830237155717336,0.8983098662580306,24,2,0,0.95506678880051,1,256.15394616127014
26,0.11575829852213207,0.12979469219079384,0.9396398848428942,0.942232044191354,0.8867804947719867,0.8907738592544462,24,2,0,0.95506678880051,2,256.040967464447
27,0.10889793149171731,0.13438677042722702,0.9513441086449471,0.9544762641887664,0.9075356404348058,0.9129168774424598,24,2,0,0.95506678880051,3,256.1236288547516
28,0.10383002132049993,0.12157066682210335,0.9528975845026021,0.9559821913102708,0.9103363852793157,0.9156761344043112,24,2,0,0.9559821913102708,0,256.1705300807953
29,0.09579823373092546,0.1141347552721317,0.9523968335180494,0.9552263450524034,0.9093802028317034,0.9142902297821777,24,2,0,0.9559821913102708,1,256.1301863193512
30,0.09026458725715295,0.11096498370170593,0.953155564524013,0.954225115875516,0.9107658555317957,0.9124574804398626,24,2,0,0.9559821913102708,2,256.15419244766235
31,0.0863724215927287,0.10087611297002205,0.9416157173295353,0.94527786060764,0.8901187757842711,0.8962340177596232,24,2,0,0.9559821913102708,3,256.10579085350037
32,0.0812710483168435,0.10646999913912553,0.9582748768664264,0.9600451450922113,0.9202454278164686,0.9231604050517532,24,2,0,0.9600451450922113,0,256.0442912578583
33,0.07564867539410917,0.09891029361348885,0.9559920412361073,0.9579751693863864,0.9160180131424519,0.9193400591253348,24,2,0,0.9600451450922113,1,256.0561411380768
34,0.07722469680329673,0.09496404201938556,0.947355978018383,0.9498852763838478,0.9004014286553498,0.904553812094781,24,2,0,0.9600451450922113,2,256.0205874443054
35,0.06946772001046911,0.08582354594881718,0.9451760007374378,0.9508779462579873,0.8965947546076719,0.9063558838234238,24,2,0,0.9600451450922113,3,256.0253484249115
36,0.06546330217940685,0.08207403094722675,0.9463151219200586,0.9546861644258667,0.8992273939241956,0.9133009933820597,24,2,0,0.9600451450922113,4,256.1211431026459
37,0.06195631446555639,0.0909067100057235,0.9595670943174568,0.9599908881903861,0.9226232553790106,0.9230600744641592,24,2,0,0.9600451450922113,5,255.94881987571716
38,0.05921164890512442,0.08189310563298371,0.956712023368581,0.9629305731540287,0.9176675327638358,0.9285111953233255,24,2,0,0.9629305731540287,0,256.04615354537964
39,0.060855383658383645,0.07680370300435103,0.9418402823458275,0.9463685463339878,0.8905531759922022,0.8981969388263675,24,2,0,0.9629305731540287,1,256.0193965435028
40,0.053625686794646785,0.06991613054504761,0.9442724498317179,0.9485323953930793,0.8948760002941016,0.9021032994617818,24,2,0,0.9629305731540287,2,256.0152952671051
41,0.05195240229049809,0.06330747128679202,0.9519793544588325,0.9543191236661808,0.9086530908397955,0.9126294123423632,24,2,0,0.9629305731540287,3,255.96444177627563
42,0.048396747479708783,0.06436930482204144,0.9466369342309676,0.9538514379491628,0.8998454301328023,0.9117743622179839,24,2,0,0.9629305731540287,4,255.97149968147278
43,0.04576575660552734,0.06781140786524002,0.9611976674834065,0.9632442801508331,0.9255450431215365,0.9290947343806036,24,2,0,0.9632442801508331,0,255.93800854682922
44,0.04326001279310793,0.06465957829585442,0.9591963138941373,0.9619828890816825,0.9218359915517146,0.9267505120706839,24,2,0,0.9632442801508331,1,255.92384123802185
