split,n_total,n_used_gt>0,dice_macro,dice_global,iou_macro,iou_global,gt_empty_count,dice_zero_count
train,234,222,0.9764394027155798,0.9836597535749172,0.9566923894055256,0.967844928934855,12,0
val,26,24,0.9746987919012704,0.9754828384227172,0.9508544057607652,0.9521390904969568,2,0
